Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
11,,383192.575,2264765.153,1904.661,,-100.12001467,20.47788689,1904.661,Global,0.016,0.016,0.076,0.023,1.686,m,FIX,RTK,2026-07-15 17:35:01.1 UTC-06:00,2026-07-15 17:35:06.1 UTC-06:00,26,5.5,6.6,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,22.444,,Mexico ITRF92 / UTM zone 14N,8,0,0,0,0
12,,383190.638,2264767.355,1905.996,,-100.12003339,20.47790666,1905.996,Global,0.175,0.361,0.827,0.401,1.686,m,FLOAT,RTK,2026-07-15 17:35:15.7 UTC-06:00,2026-07-15 17:35:20.9 UTC-06:00,27,55.2,62.7,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,25.154,,Mexico ITRF92 / UTM zone 14N,8,9,3,0,0
13,,383188.625,2264767.902,1904.558,,-100.12005272,20.47791148,1904.558,Global,0.096,0.093,0.463,0.134,1.686,m,FLOAT,RTK,2026-07-15 17:35:32.2 UTC-06:00,2026-07-15 17:35:37.2 UTC-06:00,26,14.6,17.8,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,27.167,,Mexico ITRF92 / UTM zone 14N,8,0,0,0,0
14,,383186.701,2264769.189,1904.541,,-100.12007125,20.47792299,1904.541,Global,0.081,0.040,0.204,0.090,1.686,m,FLOAT,RTK,2026-07-15 17:35:49.2 UTC-06:00,2026-07-15 17:35:54.5 UTC-06:00,27,9.2,11.5,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,29.374,,Mexico ITRF92 / UTM zone 14N,8,9,3,0,0
15,,383184.041,2264770.876,1905.127,,-100.12009686,20.47793807,1905.127,Global,0.082,0.044,0.174,0.093,1.686,m,FLOAT,RTK,2026-07-15 17:36:11.1 UTC-06:00,2026-07-15 17:36:16.1 UTC-06:00,26,10.1,12.1,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,32.484,,Mexico ITRF92 / UTM zone 14N,9,0,0,0,0
16,,383181.658,2264767.695,1904.885,,-100.12011950,20.47790918,1904.885,Global,0.015,0.009,0.044,0.017,1.686,m,FIX,RTK,2026-07-15 17:36:29.9 UTC-06:00,2026-07-15 17:36:34.9 UTC-06:00,26,2.8,3.3,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,32.207,,Mexico ITRF92 / UTM zone 14N,7,0,0,0,0
17,,383184.272,2264766.073,1904.876,,-100.12009433,20.47789469,1904.876,Global,0.081,0.031,0.184,0.086,1.686,m,FLOAT,RTK,2026-07-15 17:36:52.5 UTC-06:00,2026-07-15 17:36:57.7 UTC-06:00,27,3.3,4.1,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,29.152,,Mexico ITRF92 / UTM zone 14N,7,0,0,0,0
18,,383186.394,2264764.651,1904.972,,-100.12007390,20.47788197,1904.972,Global,0.081,0.031,0.178,0.087,1.686,m,FLOAT,RTK,2026-07-15 17:37:08.7 UTC-06:00,2026-07-15 17:37:13.9 UTC-06:00,27,2.6,3.1,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,26.614,,Mexico ITRF92 / UTM zone 14N,5,0,0,0,0
19,,383184.053,2264772.316,1904.951,,-100.12009684,20.47795108,1904.951,Global,0.065,0.038,0.170,0.076,1.686,m,FLOAT,RTK,2026-07-15 17:37:46.0 UTC-06:00,2026-07-15 17:37:51.0 UTC-06:00,26,2.6,3.1,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,33.489,,Mexico ITRF92 / UTM zone 14N,9,8,3,0,0
20,,383176.561,2264761.903,1905.465,,-100.12016799,20.47785654,1905.465,Global,0.062,0.046,0.185,0.077,1.686,m,FLOAT,RTK,2026-07-15 17:38:12.6 UTC-06:00,2026-07-15 17:38:17.6 UTC-06:00,26,1.9,2.2,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,33.734,,Mexico ITRF92 / UTM zone 14N,8,0,0,0,0
21,,383185.930,2264764.811,1905.447,,-100.12007836,20.47788340,1905.447,Global,0.056,0.037,0.144,0.067,1.686,m,FLOAT,RTK,2026-07-15 17:38:56.0 UTC-06:00,2026-07-15 17:39:01.2 UTC-06:00,27,3.4,4.2,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,27.074,,Mexico ITRF92 / UTM zone 14N,6,7,3,0,0
